"CODE","ID","NOWAGE","NAME","GENDER","INVEST_TOT","R_DATE","F_TYPE","F_SELECT","GOALMONEY","GOALTIME","SAVEDMONEY","POSITIVEMONEY","REQUIRETIME","SHORTAGEMONEY","SURPLUSMONEY","REQUIREMONEY_M","HOME_SELECT","HOME_REGION","HOME_TYPE","HOME_M","EDU_N","EDU_1","EDU_2","RETIRE_P","RETIRE_PAY","RETIRE_G","ETC_GOAL"
"10556146","test01",32,"시험용",0,193,"2017-04-28 23:49:03",0,0,7551,20,0,20,3,0,145,20,0,1,849,42,0,0,0,0,0,0,"목돈만들기"
"10556146","test01",32,"시험용",0,193,"2017-04-28 23:49:03",1,1,934,5,0,17,0,0,35,16,0,0,0,0,0,0,0,0,0,0,"목돈만들기"
"10556146","test01",32,"시험용",0,193,"2017-04-28 23:49:03",2,0,5941,11,0,37,1,77,0,37,0,0,0,0,2,11,12,0,0,0,"목돈만들기"
"10556146","test01",32,"시험용",0,193,"2017-04-28 23:49:03",3,0,8357,27,6450,10,5,1522,0,9,0,0,0,0,0,0,0,129,9349,1,"목돈만들기"
"10556146","test01",32,"시험용",0,193,"2017-04-28 23:49:03",4,0,4827,12,0,27,1,0,6,27,0,0,0,0,0,0,0,129,9349,1,"목돈만들기"
"97738039","test01",45,"시험용",1,57,"2017-04-28 23:49:04",0,0,3852,9,0,29,1,32,0,29,0,1,849,25,0,0,0,0,0,0,"목돈만들기"
"97738039","test01",45,"시험용",1,57,"2017-04-28 23:49:04",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"목돈만들기"
"97738039","test01",45,"시험용",1,57,"2017-04-28 23:49:04",2,0,7076,9,0,33,1,2729,0,54,0,0,0,0,3,9,14,0,0,0,"목돈만들기"
"97738039","test01",45,"시험용",1,57,"2017-04-28 23:49:04",3,0,1888,11,5420,-14,1,1144,0,-14,0,0,0,0,0,0,0,108,6259,1,"목돈만들기"
"97738039","test01",45,"시험용",1,57,"2017-04-28 23:49:04",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,6259,1,"목돈만들기"
"1807284","test01",24,"시험용",0,86,"2017-04-28 23:49:05",0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"목돈만들기"
"1807284","test01",24,"시험용",0,86,"2017-04-28 23:49:05",1,1,5176,12,0,29,1,0,15,29,0,0,0,0,0,0,0,0,0,0,"목돈만들기"
